appear	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)															
rest	4th4	verbal noun	lepääminen	lepääminen	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
rest	5th1	5th1	Possessive formsPersonsing.plur.1stlepäämäisillänilepäämäisillämme2ndlepäämäisilläsilepäämäisillänne3rdlepäämäisilläänlepäämäisillänsä	Possessive formsPersonsing.plur.1stlepäämäisillänilepäämäisillämme2ndlepäämäisilläsilepäämäisillänne3rdlepäämäisilläänlepäämäisillänsä	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	lepäämäisilläni	lepäämäisillämme	2nd	lepäämäisilläsi	lepäämäisillänne	3rd	lepäämäisilläänlepäämäisillänsä	lepäämäisilläänlepäämäisillänsä	
rest	possessive forms	possessive forms	possessive forms	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
rest	person	sing.	plur.																			
rest	1st	lepäämäisilläni	lepäämäisillämme																			
rest	2nd	lepäämäisilläsi	lepäämäisillänne																			
rest	3rd	lepäämäisilläänlepäämäisillänsä	lepäämäisilläänlepäämäisillänsä																			
see	inflection of nähdä (kotus type 71*d/nähdä, k-∅ gradation)	inflection of nähdä (kotus type 71*d/nähdä, k-∅ gradation)	inflection of nähdä (kotus type 71*d/nähdä, k-∅ gradation)	inflection of nähdä (kotus type 71*d/nähdä, k-∅ gradation)	inflection of nähdä (kotus type 71*d/nähdä, k-∅ gradation)	inflection of nähdä (kotus type 71*d/nähdä, k-∅ gradation)	inflection of nähdä (kotus type 71*d/nähdä, k-∅ gradation)															
see	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood															
see	present tense	present tense	present tense	present tense	perfect	perfect	perfect															
see	person	person	positive	negative	person	positive	negative															
see	1st sing.	1st sing.	näen	en näe	1st sing.	olen nähnyt	en ole nähnyt															
see	2nd sing.	2nd sing.	näet	et näe	2nd sing.	olet nähnyt	et ole nähnyt															
see	3rd sing.	3rd sing.	näkee	ei näe	3rd sing.	on nähnyt	ei ole nähnyt															
see	1st plur.	1st plur.	näemme	emme näe	1st plur.	olemme nähneet	emme ole nähneet															
see	2nd plur.	2nd plur.	näette	ette näe	2nd plur.	olette nähneet	ette ole nähneet															
see	3rd plur.	3rd plur.	näkevät	eivät näe	3rd plur.	ovat nähneet	eivät ole nähneet															
see	passive	passive	nähdään	ei nähdä	passive	on nähty	ei ole nähty															
see	past tense	past tense	past tense	past tense	pluperfect	pluperfect	pluperfect															
see	person	person	positive	negative	person	positive	negative															
see	1st sing.	1st sing.	näin	en nähnyt	1st sing.	olin nähnyt	en ollut nähnyt															
see	2nd sing.	2nd sing.	näit	et nähnyt	2nd sing.	olit nähnyt	et ollut nähnyt															
see	3rd sing.	3rd sing.	näki	ei nähnyt	3rd sing.	oli nähnyt	ei ollut nähnyt															
see	1st plur.	1st plur.	näimme	emme nähneet	1st plur.	olimme nähneet	emme olleet nähneet															
see	2nd plur.	2nd plur.	näitte	ette nähneet	2nd plur.	olitte nähneet	ette olleet nähneet															
see	3rd plur.	3rd plur.	näkivät	eivät nähneet	3rd plur.	olivat nähneet	eivät olleet nähneet															
see	passive	passive	nähtiin	ei nähty	passive	oli nähty	ei ollut nähty															
see	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood															
see	present	present	present	present	perfect	perfect	perfect															
see	person	person	positive	negative	person	positive	negative															
see	1st sing.	1st sing.	näkisin	en näkisi	1st sing.	olisin nähnyt	en olisi nähnyt															
see	2nd sing.	2nd sing.	näkisit	et näkisi	2nd sing.	olisit nähnyt	et olisi nähnyt															
see	3rd sing.	3rd sing.	näkisi	ei näkisi	3rd sing.	olisi nähnyt	ei olisi nähnyt															
see	1st plur.	1st plur.	näkisimme	emme näkisi	1st plur.	olisimme nähneet	emme olisi nähneet															
see	2nd plur.	2nd plur.	näkisitte	ette näkisi	2nd plur.	olisitte nähneet	ette olisi nähneet															
see	3rd plur.	3rd plur.	näkisivät	eivät näkisi	3rd plur.	olisivat nähneet	eivät olisi nähneet															
see	passive	passive	nähtäisiin	ei nähtäisi	passive	olisi nähty	ei olisi nähty															
see	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood															
see	present	present	present	present	perfect	perfect	perfect															
see	person	person	positive	negative	person	positive	negative															
see	1st sing.	1st sing.	—	—	1st sing.	—	—															
see	2nd sing.	2nd sing.	näe	älä näe	2nd sing.	ole nähnyt	älä ole nähnyt															
see	3rd sing.	3rd sing.	nähköön	älköön nähkö	3rd sing.	olkoon nähnyt	älköön olko nähnyt															
see	1st plur.	1st plur.	nähkäämme	älkäämme nähkö	1st plur.	olkaamme nähneet	älkäämme olko nähneet															
see	2nd plur.	2nd plur.	nähkää	älkää nähkö	2nd plur.	olkaa nähneet	älkää olko nähneet															
see	3rd plur.	3rd plur.	nähkööt	älkööt nähkö	3rd plur.	olkoot nähneet	älkööt olko nähneet															
see	passive	passive	nähtäköön	älköön nähtäkö	passive	olkoon nähty	älköön olko nähty															
see	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood															
see	present	present	present	present	perfect	perfect	perfect															
see	person	person	positive	negative	person	positive	negative															
see	1st sing.	1st sing.	nähnen	en nähne	1st sing.	lienen nähnyt	en liene nähnyt															
see	2nd sing.	2nd sing.	nähnet	et nähne	2nd sing.	lienet nähnyt	et liene nähnyt															
see	3rd sing.	3rd sing.	nähnee	ei nähne	3rd sing.	lienee nähnyt	ei liene nähnyt															
see	1st plur.	1st plur.	nähnemme	emme nähne	1st plur.	lienemme nähneet	emme liene nähneet															
see	2nd plur.	2nd plur.	nähnette	ette nähne	2nd plur.	lienette nähneet	ette liene nähneet															
see	3rd plur.	3rd plur.	nähnevät	eivät nähne	3rd plur.	lienevät nähneet	eivät liene nähneet															
see	passive	passive	nähtäneen	ei nähtäne	passive	lienee nähty	ei liene nähty															
see	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms															
see	infinitives	infinitives	infinitives	infinitives	participles	participles	participles															
